"representation","method","k","silhouette","calinski_harabasz","davies_bouldin","dunn_index","within_ss","min_cluster_size","max_cluster_size","balance_ratio","cophenetic_correlation","rank_silhouette","rank_ch","rank_db","rank_dunn","rank_balance","rank_total"
"selected_signal_positive_pca4","hclust_ward",5,0.366139738226749,12.1872702619951,0.282694726379237,1.03422042182941,0.593322691953819,1,4,0.25,0.813451965778271,126,36,15,17,147,68.2
"selected_signal_positive_corr_mds2","kmeans",2,0.509817266534496,10.7801755427168,0.643028731046914,0.483170244360586,2.94397004491241,4,5,0.8,0.86962128693875,2,47,92,188,21.5,70.1
"selected_signal_positive_corr_mds2","pam",2,0.509817266534496,10.7801755427168,0.643028731046914,0.483170244360586,2.94397004491241,4,5,0.8,0.86962128693875,2,47,92,188,21.5,70.1
"selected_signal_positive_corr_mds2","hclust_ward",2,0.509817266534496,10.7801755427168,0.643028731046914,0.483170244360586,2.94397004491241,4,5,0.8,0.86962128693875,2,47,92,188,21.5,70.1
"selected_signal_positive_corr_mds3","kmeans",2,0.492747531418968,10.5157708648477,0.666031480983656,0.483273452192406,3.01805035996792,4,5,0.8,0.86359867858604,8,50,95,185,21.5,71.9
"selected_signal_positive_corr_mds3","pam",2,0.492747531418968,10.5157708648477,0.666031480983656,0.483273452192406,3.01805035996792,4,5,0.8,0.86359867858604,8,50,95,185,21.5,71.9
"selected_signal_positive_corr_mds3","hclust_ward",2,0.492747531418968,10.5157708648477,0.666031480983656,0.483273452192406,3.01805035996792,4,5,0.8,0.86359867858604,8,50,95,185,21.5,71.9
"selected_signal_positive_corr_mds4","kmeans",2,0.487385572252263,10.4431107389691,0.673439704455083,0.48535312575088,3.03923296908732,4,5,0.8,0.862648837560414,14,57,100,180,21.5,74.5
"selected_signal_positive_corr_mds4","pam",2,0.487385572252263,10.4431107389691,0.673439704455083,0.48535312575088,3.03923296908732,4,5,0.8,0.862648837560414,14,57,100,180,21.5,74.5
"selected_signal_positive_corr_mds4","hclust_ward",2,0.487385572252263,10.4431107389691,0.673439704455083,0.48535312575088,3.03923296908732,4,5,0.8,0.862648837560414,14,57,100,180,21.5,74.5
"selected_signal_positive_pca3","kmeans",5,0.379752071872567,13.4589521681933,0.250769366978773,0.890744471222627,0.527432573521382,1,4,0.25,0.810340548994978,121,28,5,82,147,76.6
"selected_signal_positive_pca3","pam",5,0.379752071872567,13.4589521681933,0.250769366978773,0.890744471222627,0.527432573521382,1,4,0.25,0.810340548994978,121,28,5,82,147,76.6
"selected_signal_positive_pca3","hclust_ward",5,0.379752071872567,13.4589521681933,0.250769366978773,0.890744471222627,0.527432573521382,1,4,0.25,0.810340548994978,121,28,5,82,147,76.6
"selected_signal_positive","kmeans",5,0.3326978660339,9.95226993022324,0.325679172362902,1.04227338170977,0.730442186959223,1,4,0.25,0.806841018412913,137,68,30,2,147,76.8
"selected_signal_positive","pam",5,0.3326978660339,9.95226993022324,0.325679172362902,1.04227338170977,0.730442186959223,1,4,0.25,0.806841018412913,137,68,30,2,147,76.8
"selected_signal_positive","hclust_ward",5,0.3326978660339,9.95226993022324,0.325679172362902,1.04227338170977,0.730442186959223,1,4,0.25,0.806841018412913,137,68,30,2,147,76.8
"selected_signal_positive_pca3","kmeans",3,0.471993935396818,10.1726881224405,0.698996333941047,0.650425609605037,1.73680321319561,2,4,0.5,0.810340548994978,21,60,104,139,63,77.4
"selected_signal_positive_pca3","pam",3,0.471993935396818,10.1726881224405,0.698996333941047,0.650425609605037,1.73680321319561,2,4,0.5,0.810340548994978,21,60,104,139,63,77.4
"selected_signal_positive_pca3","hclust_ward",3,0.471993935396818,10.1726881224405,0.698996333941047,0.650425609605037,1.73680321319561,2,4,0.5,0.810340548994978,21,60,104,139,63,77.4
"selected_signal_positive_corr_mds2","pam",5,0.404273240338573,15.670123084881,0.215448243003936,0.660533851291833,0.448572437258094,1,4,0.25,0.86962128693875,98,10,1,133,147,77.8
"selected_signal_positive_pca2","kmeans",5,0.35842911597054,14.9122270302645,0.419629185833018,0.717745059819336,0.443126006637888,1,3,0.333333333333333,0.813617033175766,129.5,11.5,48.5,109.5,91.5,78.1
"selected_signal_positive_pca2","hclust_ward",5,0.35842911597054,14.9122270302645,0.419629185833018,0.717745059819336,0.443126006637888,1,3,0.333333333333333,0.813617033175766,129.5,11.5,48.5,109.5,91.5,78.1
"selected_signal_positive_corr_mds2","kmeans",3,0.473137169807072,12.4857925985986,0.680832329462765,0.508709820107072,1.4486357790148,2,4,0.5,0.86962128693875,19,34,102,176,63,78.8
"selected_signal_positive","kmeans",4,0.419514661166613,9.78820897018827,0.562052914742696,0.99862677493326,1.16398761156644,1,4,0.25,0.806841018412913,61,91,66,32,147,79.4
"selected_signal_positive","pam",4,0.419514661166613,9.78820897018827,0.562052914742696,0.99862677493326,1.16398761156644,1,4,0.25,0.806841018412913,61,91,66,32,147,79.4
"selected_signal_positive","hclust_ward",4,0.419514661166613,9.78820897018827,0.562052914742696,0.99862677493326,1.16398761156644,1,4,0.25,0.806841018412913,61,91,66,32,147,79.4
"selected_signal_positive_pca2","pam",5,0.363131859307509,13.5229640360253,0.262854279594677,0.816936345170504,0.485515326151448,1,4,0.25,0.813617033175766,128,26,12,90,147,80.6
"selected_top15","kmeans",5,0.332697370213408,9.95223620995427,0.325679856382131,1.04227254754426,0.730444435879584,1,4,0.25,0.806840923840514,140,71,33,14,147,81
